Compiling 1 file (.ex)
Generated main app
50-5=45      c: 0, revs: 0
45-37=8      c: 0, revs: 0
8-32=76      c: 0, revs: 1
76+5=81      c: 1, revs: 0
81-36=45     c: 1, revs: 0
45-29=16     c: 1, revs: 0
16+13=29     c: 1, revs: 0
29+17=46     c: 1, revs: 0
46-19=27     c: 1, revs: 0
27-34=93     c: 1, revs: 1
93+2=95      c: 2, revs: 0
95+9=4       c: 2, revs: 1
4+1=5        c: 3, revs: 0
5+11=16      c: 3, revs: 0
16+35=51     c: 3, revs: 0
51+26=77     c: 3, revs: 0
77-20=57     c: 3, revs: 0
57+19=76     c: 3, revs: 0
76-44=32     c: 3, revs: 0
32-27=5      c: 3, revs: 0
5+10=15      c: 3, revs: 0
15-14=1      c: 3, revs: 0
1+43=44      c: 3, revs: 0
44+35=79     c: 3, revs: 0
79-25=54     c: 3, revs: 0
54-35=19     c: 3, revs: 0
19-1=18      c: 3, revs: 0
18+34=52     c: 3, revs: 0
52-3=49      c: 3, revs: 0
49+25=74     c: 3, revs: 0
74+7=81      c: 3, revs: 0
81-44=37     c: 3, revs: 0
37+11=48     c: 3, revs: 0
48-23=25     c: 3, revs: 0
25+22=47     c: 3, revs: 0
47-19=28     c: 3, revs: 0
28-39=89     c: 3, revs: 1
89-24=65     c: 4, revs: 0
65-50=15     c: 4, revs: 0
15+30=45     c: 4, revs: 0
45+42=87     c: 4, revs: 0
87+39=26     c: 4, revs: 1
26+30=56     c: 5, revs: 0
56+9=65      c: 5, revs: 0
65-46=19     c: 5, revs: 0
19+45=64     c: 5, revs: 0
64-32=32     c: 5, revs: 0
32+22=54     c: 5, revs: 0
54+35=89     c: 5, revs: 0
89+11=0      c: 5, revs: 1
0-32=68      c: 6, revs: 0
68+32=0      c: 6, revs: 1
0+86=86      c: 7, revs: 0
86-67=19     c: 7, revs: 0
19-9=10      c: 7, revs: 0
10-34=76     c: 7, revs: 1
76+24=0      c: 8, revs: 1
0+66=66      c: 9, revs: 0
66+34=0      c: 9, revs: 1
0+38=38      c: 10, revs: 0
38+33=71     c: 10, revs: 0
71-71=0      c: 10, revs: 1
0+9=9        c: 11, revs: 0
9+91=0       c: 11, revs: 1
0+19=19      c: 12, revs: 0
19+81=0      c: 12, revs: 1
0+64=64      c: 13, revs: 0
64+36=0      c: 13, revs: 1
0+11=11      c: 14, revs: 0
11+2=13      c: 14, revs: 0
13-45=68     c: 14, revs: 1
68-68=0      c: 15, revs: 1
0-27=73      c: 16, revs: 0
73-11=62     c: 16, revs: 0
62-27=35     c: 16, revs: 0
35-35=0      c: 16, revs: 1
0-96=4       c: 17, revs: 0
4+41=45      c: 17, revs: 0
45+55=0      c: 17, revs: 1
0+93=93      c: 18, revs: 0
93-93=0      c: 18, revs: 1
0-8=92       c: 19, revs: 0
92-92=0      c: 19, revs: 1
0-16=84      c: 20, revs: 0
84+16=0      c: 20, revs: 1
0+42=42      c: 21, revs: 0
42+54=96     c: 21, revs: 0
96-10=86     c: 21, revs: 0
86+14=0      c: 21, revs: 1
0+41=41      c: 22, revs: 0
41+59=0      c: 22, revs: 1
0+62=62      c: 23, revs: 0
62+89=51     c: 23, revs: 1
51+77=28     c: 24, revs: 1
28+13=41     c: 25, revs: 0
41-55=86     c: 25, revs: 1
86-1=85      c: 26, revs: 0
85+15=0      c: 26, revs: 1
0+56=56      c: 27, revs: 0
56-56=0      c: 27, revs: 1
0-28=72      c: 28, revs: 0
72+84=56     c: 28, revs: 1
56-28=28     c: 29, revs: 0
28-40=88     c: 29, revs: 1
88+427=15    c: 30, revs: 5
15-340=75    c: 35, revs: 4
75-75=0      c: 39, revs: 1
0+82=82      c: 40, revs: 0
82-2=80      c: 40, revs: 0
80-80=0      c: 40, revs: 1
0+926=26     c: 41, revs: 9
26+74=0      c: 50, revs: 1
0-846=54     c: 51, revs: 8
54+29=83     c: 59, revs: 0
83-13=70     c: 59, revs: 0
70-27=43     c: 59, revs: 0
43-15=28     c: 59, revs: 0
28-828=0     c: 59, revs: 9
0+75=75      c: 68, revs: 0
75+6=81      c: 68, revs: 0
81-888=93    c: 68, revs: 9
93+25=18     c: 77, revs: 1
18-632=86    c: 78, revs: 7
86-86=0      c: 85, revs: 1
0-93=7       c: 86, revs: 0
7+51=58      c: 86, revs: 0
58-708=50    c: 86, revs: 7
50+409=59    c: 93, revs: 4
59+41=0      c: 97, revs: 1
0-55=45      c: 98, revs: 0
45-5=40      c: 98, revs: 0
40+460=0     c: 98, revs: 5
0+12=12      c: 103, revs: 0
12-60=52     c: 103, revs: 1
52+97=49     c: 104, revs: 1
49-92=57     c: 105, revs: 1
57-12=45     c: 106, revs: 0
45-230=15    c: 106, revs: 2
15+85=0      c: 108, revs: 1
0-3=97       c: 109, revs: 0
97-63=34     c: 109, revs: 0
34+79=13     c: 109, revs: 1
13-13=0      c: 110, revs: 1
0-80=20      c: 111, revs: 0
20-43=77     c: 111, revs: 1
77+23=0      c: 112, revs: 1
0-14=86      c: 113, revs: 0
86-86=0      c: 113, revs: 1
0+60=60      c: 114, revs: 0
60-60=0      c: 114, revs: 1
0-20=80      c: 115, revs: 0
80+9=89      c: 115, revs: 0
89+44=33     c: 115, revs: 1
33+82=15     c: 116, revs: 1
15+59=74     c: 117, revs: 0
74+26=0      c: 117, revs: 1
0-18=82      c: 118, revs: 0
82-42=40     c: 118, revs: 0
40+56=96     c: 118, revs: 0
96-96=0      c: 118, revs: 1
0-277=23     c: 119, revs: 2
23+77=0      c: 121, revs: 1
0+88=88      c: 122, revs: 0
88+212=0     c: 122, revs: 3
0+471=71     c: 125, revs: 4
71-77=94     c: 129, revs: 1
94+6=0       c: 130, revs: 1
0+96=96      c: 131, revs: 0
96+38=34     c: 131, revs: 1
34+66=0      c: 132, revs: 1
0+83=83      c: 133, revs: 0
83-29=54     c: 133, revs: 0
54-54=0      c: 133, revs: 1
0+44=44      c: 134, revs: 0
44+62=6      c: 134, revs: 1
6-6=0        c: 135, revs: 1
0-5=95       c: 136, revs: 0
95+401=96    c: 136, revs: 4
96+84=80     c: 140, revs: 1
80-192=88    c: 141, revs: 2
88+12=0      c: 143, revs: 1
0-615=85     c: 144, revs: 6
85+15=0      c: 150, revs: 1
0-11=89      c: 151, revs: 0
89-33=56     c: 151, revs: 0
56+94=50     c: 151, revs: 1
50+50=0      c: 152, revs: 1
0-20=80      c: 153, revs: 0
80-94=86     c: 153, revs: 1
86-163=23    c: 154, revs: 1
23+12=35     c: 155, revs: 0
35-91=44     c: 155, revs: 1
44+273=17    c: 156, revs: 3
17+83=0      c: 159, revs: 1
0-20=80      c: 160, revs: 0
80+3=83      c: 160, revs: 0
83+17=0      c: 160, revs: 1
0-85=15      c: 161, revs: 0
15+24=39     c: 161, revs: 0
39+61=0      c: 161, revs: 1
0+63=63      c: 162, revs: 0
63+537=0     c: 162, revs: 6
0-395=5      c: 168, revs: 3
5-5=0        c: 171, revs: 1
0+297=97     c: 172, revs: 2
97-97=0      c: 174, revs: 1
0-194=6      c: 175, revs: 1
6-806=0      c: 176, revs: 9
0-79=21      c: 185, revs: 0
21-127=94    c: 185, revs: 2
94-879=15    c: 187, revs: 8
15-164=51    c: 195, revs: 2
51-56=95     c: 197, revs: 1
95-95=0      c: 198, revs: 1
0-62=38      c: 199, revs: 0
38-21=17     c: 199, revs: 0
17+183=0     c: 199, revs: 2
0-50=50      c: 201, revs: 0
50+25=75     c: 201, revs: 0
75+70=45     c: 201, revs: 1
45+42=87     c: 202, revs: 0
87-7=80      c: 202, revs: 0
80-80=0      c: 202, revs: 1
0+63=63      c: 203, revs: 0
63-6=57      c: 203, revs: 0
57-42=15     c: 203, revs: 0
15+74=89     c: 203, revs: 0
89+11=0      c: 203, revs: 1
0-40=60      c: 204, revs: 0
60+7=67      c: 204, revs: 0
67-67=0      c: 204, revs: 1
0+380=80     c: 205, revs: 3
80+11=91     c: 208, revs: 0
91-91=0      c: 208, revs: 1
0+83=83      c: 209, revs: 0
83-14=69     c: 209, revs: 0
69+31=0      c: 209, revs: 1
0+10=10      c: 210, revs: 0
10+79=89     c: 210, revs: 0
89+11=0      c: 210, revs: 1
0+40=40      c: 211, revs: 0
40-40=0      c: 211, revs: 1
0-74=26      c: 212, revs: 0
26+87=13     c: 212, revs: 1
13+20=33     c: 213, revs: 0
33-17=16     c: 213, revs: 0
16-74=42     c: 213, revs: 1
42-52=90     c: 214, revs: 1
90+96=86     c: 215, revs: 1
86-879=7     c: 216, revs: 8
7-7=0        c: 224, revs: 1
0-81=19      c: 225, revs: 0
19+173=92    c: 225, revs: 1
92-14=78     c: 226, revs: 0
78-66=12     c: 226, revs: 0
12+88=0      c: 226, revs: 1
0+25=25      c: 227, revs: 0
25+85=10     c: 227, revs: 1
10+867=77    c: 228, revs: 8
77-23=54     c: 236, revs: 0
54+46=0      c: 236, revs: 1
0+30=30      c: 237, revs: 0
30+30=60     c: 237, revs: 0
60+486=46    c: 237, revs: 5
46-84=62     c: 242, revs: 1
62+150=12    c: 243, revs: 2
12+88=0      c: 245, revs: 1
0+85=85      c: 246, revs: 0
85+27=12     c: 246, revs: 1
12+726=38    c: 247, revs: 7
38-95=43     c: 254, revs: 1
43+55=98     c: 255, revs: 0
98-11=87     c: 255, revs: 0
87-11=76     c: 255, revs: 0
76-7=69      c: 255, revs: 0
69-69=0      c: 255, revs: 1
0+32=32      c: 256, revs: 0
32-61=71     c: 256, revs: 1
71+28=99     c: 257, revs: 0
99+599=98    c: 257, revs: 6
98+72=70     c: 263, revs: 1
70+37=7      c: 264, revs: 1
7+961=68     c: 265, revs: 9
68+30=98     c: 274, revs: 0
98+177=75    c: 274, revs: 2
75-8=67      c: 276, revs: 0
67-66=1      c: 276, revs: 0
1+99=0       c: 276, revs: 1
0+9=9        c: 277, revs: 0
9-11=98      c: 277, revs: 1
98-98=0      c: 278, revs: 1
0-98=2       c: 279, revs: 0
2+805=7      c: 279, revs: 8
7-52=55      c: 287, revs: 1
55+9=64      c: 288, revs: 0
64-64=0      c: 288, revs: 1
0-20=80      c: 289, revs: 0
80-37=43     c: 289, revs: 0
43-17=26     c: 289, revs: 0
26+520=46    c: 289, revs: 5
46-1=45      c: 294, revs: 0
45+55=0      c: 294, revs: 1
0+9=9        c: 295, revs: 0
9+91=0       c: 295, revs: 1
0-69=31      c: 296, revs: 0
31-56=75     c: 296, revs: 1
75-55=20     c: 297, revs: 0
20-79=41     c: 297, revs: 1
41+54=95     c: 298, revs: 0
95-429=66    c: 298, revs: 4
66+92=58     c: 302, revs: 1
58-58=0      c: 303, revs: 1
0+20=20      c: 304, revs: 0
20+43=63     c: 304, revs: 0
63-504=59    c: 304, revs: 5
59-159=0     c: 309, revs: 2
0-20=80      c: 311, revs: 0
80-32=48     c: 311, revs: 0
48-17=31     c: 311, revs: 0
31+62=93     c: 311, revs: 0
93-46=47     c: 311, revs: 0
47-47=0      c: 311, revs: 1
0+392=92     c: 312, revs: 3
92+36=28     c: 315, revs: 1
28+87=15     c: 316, revs: 1
15+12=27     c: 317, revs: 0
27+79=6      c: 317, revs: 1
6+562=68     c: 318, revs: 5
68-22=46     c: 323, revs: 0
46-46=0      c: 323, revs: 1
0-8=92       c: 324, revs: 0
92-92=0      c: 324, revs: 1
0-22=78      c: 325, revs: 0
78-61=17     c: 325, revs: 0
17+78=95     c: 325, revs: 0
95+21=16     c: 325, revs: 1
16-86=30     c: 326, revs: 1
30-764=66    c: 327, revs: 8
66-97=69     c: 335, revs: 1
69+97=66     c: 336, revs: 1
66+39=5      c: 337, revs: 1
5+982=87     c: 338, revs: 9
87-75=12     c: 347, revs: 0
12+240=52    c: 347, revs: 2
52+77=29     c: 349, revs: 1
29+57=86     c: 350, revs: 0
86+28=14     c: 350, revs: 1
14-86=28     c: 351, revs: 1
28-28=0      c: 352, revs: 1
0-70=30      c: 353, revs: 0
30+357=87    c: 353, revs: 3
87+64=51     c: 356, revs: 1
51+93=44     c: 357, revs: 1
44-462=82    c: 358, revs: 5
82-82=0      c: 363, revs: 1
0+93=93      c: 364, revs: 0
93+7=0       c: 364, revs: 1
0-6=94       c: 365, revs: 0
94-50=44     c: 365, revs: 0
44+77=21     c: 365, revs: 1
21-81=40     c: 366, revs: 1
40+60=0      c: 367, revs: 1
0+18=18      c: 368, revs: 0
18+60=78     c: 368, revs: 0
78-78=0      c: 368, revs: 1
0-545=55     c: 369, revs: 5
55+45=0      c: 374, revs: 1
0-303=97     c: 375, revs: 3
97-46=51     c: 378, revs: 0
51-51=0      c: 378, revs: 1
0+94=94      c: 379, revs: 0
94-8=86      c: 379, revs: 0
86+492=78    c: 379, revs: 5
78+48=26     c: 384, revs: 1
26+185=11    c: 385, revs: 2
11-51=60     c: 387, revs: 1
60-28=32     c: 388, revs: 0
32+14=46     c: 388, revs: 0
46-353=93    c: 388, revs: 4
93-25=68     c: 392, revs: 0
68-44=24     c: 392, revs: 0
24+44=68     c: 392, revs: 0
68-868=0     c: 392, revs: 9
0+982=82     c: 401, revs: 9
82-30=52     c: 410, revs: 0
52-82=70     c: 410, revs: 1
70-25=45     c: 411, revs: 0
45+543=88    c: 411, revs: 5
88-828=60    c: 416, revs: 8
60-60=0      c: 424, revs: 1
0+79=79      c: 425, revs: 0
79+44=23     c: 425, revs: 1
23-19=4      c: 426, revs: 0
4+6=10       c: 426, revs: 0
10+85=95     c: 426, revs: 0
95-20=75     c: 426, revs: 0
75-30=45     c: 426, revs: 0
45+855=0     c: 426, revs: 9
0-18=82      c: 435, revs: 0
82-82=0      c: 435, revs: 1
0+11=11      c: 436, revs: 0
11-112=99    c: 436, revs: 2
99-940=59    c: 438, revs: 9
59-31=28     c: 447, revs: 0
28+327=55    c: 447, revs: 3
55+48=3      c: 450, revs: 1
3-3=0        c: 451, revs: 1
0-75=25      c: 452, revs: 0
25+93=18     c: 452, revs: 1
18-2=16      c: 453, revs: 0
16-35=81     c: 453, revs: 1
81+97=78     c: 454, revs: 1
78+198=76    c: 455, revs: 2
76+24=0      c: 457, revs: 1
0+69=69      c: 458, revs: 0
69-59=10     c: 458, revs: 0
10+290=0     c: 458, revs: 3
0+64=64      c: 461, revs: 0
64-92=72     c: 461, revs: 1
72-72=0      c: 462, revs: 1
0+89=89      c: 463, revs: 0
89-54=35     c: 463, revs: 0
35-243=92    c: 463, revs: 3
